dept_code,value
Dept013,460471000.0699999
Dept067,269344999.96999997
CAB010,164878000.0
Dept003,33438958599.000053
England LA data,695406338999.7911
LCD047,10756000.0
ONS005,22000000.0
RCP046,171591000.0
Dept087,14874422000.01
NIC081,914088000.0
HOA038,1150449000.0
Dept045,241627000.0
OPC060,190538000.0
Dept004,62810841225.09003
Dept088,204527000.02
GEO064,471400000.0
Welsh LG Adjustment/Input,42612271000.0
Dept019,299507999.97999996
ELC011,162097000.0
DTI084,6231442637.540001
PCO065,0.0
Dept025,139974000.0
Dept050,66595000.090000026
Dept005,1406939000.0799994
Northern Irish LG Adjustment/Input,3201128000.0
DCM048,28156369000.0
IPS069,6571000.0
Dept089,63895999.87000002
Dept022,74056847646.5798
WOF091,34087000.0
ENG_HRA,12393366999.969992
Dept030,34647685999.979996
Dept057,196395999.81999987
Scottish LG Adjustment/Input,80043853000.0
Dept047,61396913001.01998
Dept010,19740807999.960007
Dept062,2200000.030000001
DWP032,260015000.0
Dept090,693475000.0099996
Dept006,64004999.97
DPM085,52654000.0
GAD031,166000.0
DOH033,6024000.0
Dept033,576108979000.0491
Dept017,19741436999.920002
HMT087,-1520278000.0
HOL037,656179000.0
CES014,-45688000.0
Dept048,16295796472.01994
Dept020,288280000.00000036
DES022,224373000.0
NAO050,508877000.0
HGT089,0.0
Dept032,816660655678.222
Dept075,1030075999.9699996
Dept041,196400631066.57004
Dept016,4513294999.929999
Dept084,123638912069.71994
ECG025,162000.0
SCT075,124925338000.0
HOC036,1092325000.0
DID030,562616000.0
DFT004,1735799000.0
Dept009,213942999.97999993
DEC066,96752000.0
NIE099,96248617000.0
MOD017,225388126000.0
CEX086,218332888000.0
SCO042,81651000.0
EFR003,82465000.0
NAW090,60489875000.0
TSC068,6285000.0
Dept074,478697000.02
ARA035,38196000.0
FCO027,8539264000.0
Dept061,8492000.01
Dept085,39545142367.780014
NIO081,8253651000.0
PRO067,205000.0
BTI013,213603000.0
RMT087,0.0
Dept034,10467639000.090017
Dept026,939252999.9600002
DNS049,1166054000.0
HOF034,14179572000.0
Dept066,20372510331.21001
CPS016,10511000.0
ILR041,29187628000.0
Dept027,4660074999.969992
